Date,Price,Open,High,Low,Vol.,Change %
20/07/2018,1.3036,1.3002,1.3053,1.2985,,0.25%
19/07/2018,1.3003,1.3054,1.3072,1.2986,,-0.39%
18/07/2018,1.3054,1.3117,1.3143,1.3012,,-0.48%
17/07/2018,1.3117,1.3193,1.3215,1.3071,,-0.58%
16/07/2018,1.3193,1.3253,1.3271,1.3184,,-0.48%
13/07/2018,1.3257,1.3237,1.3268,1.3158,,0.15%
12/07/2018,1.3237,1.3153,1.326,1.3133,,0.65%
11/07/2018,1.3151,1.317,1.3185,1.3137,,-0.14%
10/07/2018,1.317,1.3148,1.3208,1.3123,,0.17%
09/07/2018,1.3147,1.317,1.3207,1.3087,,-0.03%
