Date,Price,Open,High,Low,Vol.,Change %
23/07/2018,1.3102,1.3122,1.3159,1.3081,,-0.24%
20/07/2018,1.3134,1.3014,1.3141,1.2994,,0.92%
19/07/2018,1.3014,1.3069,1.3085,1.2957,,-0.42%
18/07/2018,1.3069,1.3114,1.3124,1.3009,,-0.35%
17/07/2018,1.3115,1.3236,1.3271,1.3072,,-0.91%
16/07/2018,1.3236,1.323,1.3295,1.3216,,0.01%
13/07/2018,1.3235,1.3207,1.3241,1.3103,,0.22%
12/07/2018,1.3206,1.3205,1.3246,1.318,,0.01%
11/07/2018,1.3205,1.3278,1.3288,1.3199,,-0.53%
10/07/2018,1.3276,1.326,1.3302,1.3224,,0.13%
09/07/2018,1.3259,1.3304,1.3364,1.319,,-0.20%
06/07/2018,1.3285,1.3228,1.3293,1.3203,,0.44%
